timestamp;type;instance;model;action;Order ID;Products;Customer type;Payment type;Replenishment ID;Product;Amount;Shipment ID;Courier;Number of orders
2024-01-01 00:02:57;Order;1;Order;Receive customer order;1;[laptop,phone,laptop,desktop];Silver;Credit;;;;;;
2024-01-01 00:14:11;Order;2;Order;Receive customer order;2;[laptop,desktop];Bronze;Plan;;;;;;
2024-01-01 00:14:11;Order;1;Order;Try payment;1;[laptop,phone,laptop,desktop];Silver;Credit;;;;;;
2024-01-01 00:16:01;Order;2;Order;Deny order;2;[laptop,desktop];Bronze;Plan;;;;;;
2024-01-01 00:16:01;Order;3;Order;Receive customer order;3;[phone];Gold;Credit;;;;;;
2024-01-01 00:19:10;Order;1;Order;Receive payment;1;[laptop,phone,laptop,desktop];Silver;Credit;;;;;;
2024-01-01 00:24:14;Order;1;Order;Process order;1;[laptop,phone,laptop,desktop];Silver;Credit;;;;;;
2024-01-01 00:31:56;Order;3;Order;Try payment;3;[phone];Gold;Credit;;;;;;
2024-01-01 00:31:56;Order;4;Order;Receive customer order;4;[tv,desktop,tv];Bronze;Credit;;;;;;
2024-01-01 00:36:55;Order;3;Order;Receive payment;3;[phone];Gold;Credit;;;;;;
2024-01-01 00:39:48;Order;5;Order;Receive customer order;5;[tv,tv,laptop];Silver;Credit;;;;;;
2024-01-01 00:39:48;Order;4;Order;Try payment;4;[tv,desktop,tv];Bronze;Credit;;;;;;
2024-01-01 00:41:47;Order;3;Order;Process order;3;[phone];Gold;Credit;;;;;;
2024-01-01 00:44:44;Order;4;Order;Receive payment;4;[tv,desktop,tv];Bronze;Credit;;;;;;
2024-01-01 00:49:44;Order;4;Order;Process order;4;[tv,desktop,tv];Bronze;Credit;;;;;;
2024-01-01 00:51:50;Order;3;Order;Pick inventory;3;[phone];Gold;Credit;;;;;;
2024-01-01 01:00:02;Order;6;Order;Receive customer order;6;[phone,phone,phone];Bronze;Plan;;;;;;
2024-01-01 01:00:02;Order;5;Order;Try payment;5;[tv,tv,laptop];Silver;Credit;;;;;;
2024-01-01 01:01:49;Order;3;Order;Pack order;3;[phone];Gold;Credit;;;;;;
2024-01-01 01:04:11;Order;1;Order;Pick inventory;1;[laptop,phone,laptop,desktop];Silver;Credit;;;;;;
2024-01-01 01:04:11;Order;1;Order;Pick inventory;1;[laptop,phone,laptop,desktop];Silver;Credit;;;;;;
2024-01-01 01:04:11;Order;1;Order;Pick inventory;1;[laptop,phone,laptop,desktop];Silver;Credit;;;;;;
2024-01-01 01:05:02;Order;5;Order;Receive payment;5;[tv,tv,laptop];Silver;Credit;;;;;;
2024-01-01 01:07:19;Order;7;Order;Receive customer order;7;[tv,desktop];Gold;Plan;;;;;;
2024-01-01 01:07:19;Order;6;Order;Try payment;6;[phone,phone,phone];Bronze;Plan;;;;;;
2024-01-01 01:09:59;Order;5;Order;Process order;5;[tv,tv,laptop];Silver;Credit;;;;;;
2024-01-01 01:12:11;Order;6;Order;Receive payment;6;[phone,phone,phone];Bronze;Plan;;;;;;
2024-01-01 01:16:41;Order;3;Order;Complete packing;3;[phone];Gold;Credit;;;;;;
2024-01-01 01:17:06;Order;6;Order;Process order;6;[phone,phone,phone];Bronze;Plan;;;;;;
2024-01-01 01:19:19;Order;4;Order;Pick inventory;4;[tv,desktop,tv];Bronze;Credit;;;;;;
2024-01-01 01:19:19;Order;4;Order;Pick inventory;4;[tv,desktop,tv];Bronze;Credit;;;;;;
2024-01-01 01:25:42;Order;8;Order;Receive customer order;8;[tv];Gold;Plan;;;;;;
2024-01-01 01:25:42;Order;7;Order;Try payment;7;[tv,desktop];Gold;Plan;;;;;;
2024-01-01 01:30:41;Order;7;Order;Receive payment;7;[tv,desktop];Gold;Plan;;;;;;
2024-01-01 01:35:04;Order;8;Order;Try payment;8;[tv];Gold;Plan;;;;;;
2024-01-01 01:35:04;Order;9;Order;Receive customer order;9;[desktop,desktop];Gold;Debit;;;;;;
2024-01-01 01:35:36;Order;7;Order;Process order;7;[tv,desktop];Gold;Plan;;;;;;
2024-01-01 01:36:34;Order;10;Order;Receive customer order;10;[phone,laptop];Silver;Debit;;;;;;
2024-01-01 01:36:34;Order;9;Order;Try payment;9;[desktop,desktop];Gold;Debit;;;;;;
2024-01-01 01:40:02;Order;5;Order;Pick inventory;5;[tv,tv,laptop];Silver;Credit;;;;;;
2024-01-01 01:40:02;Order;5;Order;Pick inventory;5;[tv,tv,laptop];Silver;Credit;;;;;;
2024-01-01 01:40:02;Order;5;Order;Pick inventory;5;[tv,tv,laptop];Silver;Credit;;;;;;
2024-01-01 01:40:16;Order;8;Order;Receive payment;8;[tv];Gold;Plan;;;;;;
2024-01-01 01:41:29;Order;9;Order;Receive payment;9;[desktop,desktop];Gold;Debit;;;;;;
2024-01-01 01:43:41;Order;11;Order;Receive customer order;11;[tv,tv,phone,laptop];Gold;Credit;;;;;;
